Trainer,Multi?,Route,Combined Name,Pokemon 1,Move 1,Move 2,Move 3,Move 4,Pokemon 2,Move 1,Move 2,Move 3,Move 4,Pokemon 3,Move 1,Move 2,Move 3,Move 4,Pokemon 4,Move 1,Move 2,Move 3,Move 4,Pokemon 5,Move 1,Move 2,Move 3,Move 4,Pokemon 6,Move 1,Move 2,Move 3,Move 4,Double?,P1 Item,P1 Nature,P1 IV,P1 Lvl,P2 Item,P2 Nature,P2 IV,P2 Lvl,P3 Item,P3 Nature,P3 IV,P3 Lvl,P4 Item,P4 Nature,P4 IV,P4 Lvl,P5 Item,P5 Nature,P5 IV,P5 Lvl,P6 Item,P6 Nature,P6 IV,P6 Lvl
Pokéfan Vanessa,FALSE,Route 121,Pokéfan Vanessa - Route 121,Misdreavus,Calm Mind,Psychic,Destiny Bond,Mean Look,Arcanine,Sunny Day,Overheat,Overheat,Morning Sun,Wigglytuff,Belly Drum,Rest,Snore,,Sudowoodo,Harden,Double-Edge,Earthquake,Rock Slide,Raichu,Thunder Wave,Volt Tackle,Double Team,Quick Attack,,,,,,FALSE,Green Scarf,Naive,31,52,Blue Scarf,Bold,31,52,Pink Scarf,Naughty,31,53,Yellow Scarf,Relaxed,31,53,Red Scarf,Hasty,31,53,,,,
Pkmn Breeder Nora,FALSE,Route 121,Pkmn Breeder Nora - Route 121,Sunflora,Leaf Blade,Synthesis,HP Ice,Return,Luvdisc,Attract,Sweet Kiss,Substitute,Dive,Spinda,Teeter Dance,Double-Edge,Shadow Ball,Brick Break,,,,,,,,,,,,,,,,FALSE,Quick Claw,Brave,31,54,Brightpowder,Hardy,31,54,Silk Scarf,Relaxed,31,54,,,,,,,,,,,,
Cooltrainer Cristin,FALSE,Route 121,Cooltrainer Cristin - Route 121,Steelix,Double-Edge,Earthquake,Rock Slide,Flash Cannon,Slaking,Hyper Beam,Earthquake,Shadow Ball,,Crobat,Hypnosis,Heat Wave,Giga Drain,Air Slash,Exeggutor,Sleep Powder,Giga Drain,Psychic,Ancientpower,Blissey,Thunder Wave,Softboiled,Seismic Toss,Ice Beam,,,,,,FALSE,Quick Claw,Timid,31,54,Leftovers,Hardy,31,51,Lum Berry,Jolly,31,52,Lum Berry,Adamant,31,52,Leftovers,Hardy,31,52,,,,
Cooltrainer Marcel,FALSE,Route 121,Cooltrainer Marcel - Route 121,Gyarados,Earthquake,Hydro Pump,Double-Edge,Thunder Wave,Flygon,Earthquake,Giga Drain,Flamethrower,Rock Slide,Electabuzz,Thunderbolt,Ice Punch,Cross Chop,Quick Attack,Breloom,Spore,Brick Break,Giga Drain,Mach Punch,Houndoom,Crunch,Pursuit,Flamethrower,Body Slam,,,,,,FALSE,Lum Berry,Hardy,31,52,Lum Berry,Modest,31,51,Lum Berry,Lax,31,51,Lum Berry,Lax,31,52,Lum Berry,Hardy,31,51,,,,
Gentleman Walter,FALSE,Route 121,Gentleman Walter - Route 121,Eevee,Substitute,Body Slam,Double Team,Baton Pass,Flareon,Fire Blast,Shadow Ball,Iron Tail,Baton Pass,Vaporeon,Acid Armor,Baton Pass,Surf,Substitute,Jolteon,Agility,Substitute,Thunderbolt,Baton Pass,Espeon,Calm Mind,Baton Pass,Psychic,Substitute,Umbreon,Mean Look,Moonlight,Baton Pass,Faint Attack,FALSE,Brightpowder,Jolly,31,55,Leftovers,Gentle,31,53,Leftovers,Bold,31,51,Petaya Berry,Impish,31,52,Leftovers,Hardy,31,52,Leftovers,Adamant,31,52
Pkmn Trainer May,FALSE,Lilycove City,Pkmn Trainer May - Lilycove City,Miltank,Body Slam,Earthquake,Shadow Ball,Fake Out,Ampharos,Thunder Wave,Thunderbolt,HP Ice,Fire Punch,Nidoqueen,Earthquake,Poison Fang,Thunderbolt,Ice Beam,Meganium,Grasswhistle,Earthquake,Ancientpower,Giga Drain,Blastoise,Water Spout,HP Electric,Ice Beam,Mirror Coat,Blaziken,Overheat,Superpower,Thunderpunch,Rock Slide,FALSE,Lum Berry,Rash,31,59,Lum Berry,Hardy,31,59,Lum Berry,Hardy,31,59,Lum Berry,Impish,31,59,Lum Berry,Gentle,31,59,Lum Berry,Hasty,31,60
Young Couple Dez & Luke,FALSE,Mt. Pyre,Young Couple Dez & Luke - Mt. Pyre,Delcatty,Attract,Hyper Beam,Fake Out,Sing,Machamp,Cross Chop,HP Ghost,Attract,Rock Slide,,,,,,,,,,,,,,,,,,,,,TRUE,Silk Scarf,Relaxed,31,55,White Herb,Timid,31,50,,,,,,,,,,,,,,,,
Hex Maniac Leah,FALSE,Mt. Pyre,Hex Maniac Leah - Mt. Pyre,Misdreavus,Confuse Ray,Shadow Ball,Signal Beam,Thunderbolt,Absol,Protect,Substitute,Shadow Ball,Superpower,Grumpig,Psychic,Signal Beam,Confuse Ray,Attract,Golduck,Psychic,Ice Beam,Surf,Return,,,,,,,,,,,FALSE,Silverpowder,Hasty,31,52,Spell Tag,Bold,31,52,Leftovers,Impish,31,52,Silk Scarf,Adamant,31,50,,,,,,,,
Team Aqua Grunt #1,FALSE,Mt. Pyre,Team Aqua Grunt #1 - Mt. Pyre,Walrein,Rain Dance,Surf,Substitute,Ice Shard,Mantine,Rain Dance,Ice Beam,Surf,Air Slash,Huntail,Waterfall,Rain Dance,Ice Beam,Double-Edge,Whiscash,Rain Dance,Waterfall,Earthquake,Ice Beam,Qwilfish,Rain Dance,Sludge Bomb,Waterfall,Explosion,Kabutops,Rain Dance,Waterfall,Rock Slide,X-Scissors,FALSE,Leftovers,Hardy,31,50,King'S Rock,Adamant,31,51,Scope Lens,Timid,31,50,Scope Lens,Jolly,31,50,Focus Band,Rash,31,50,Scope Lens,Hardy,31,51
Pkmn Breeder Gabrielle,FALSE,Mt. Pyre,Pkmn Breeder Gabrielle - Mt. Pyre,Swalot,Sludge Bomb,Giga Drain,Shadow Ball,Fire Punch,Jumpluff,Sleep Powder,Leech Seed,Substitute,Protect,Blissey,Softboiled,Seismic Toss,Charm,Ice Beam,,,,,,,,,,,,,,,,FALSE,Poison Barb,Lonely,31,52,Leftovers,Naughty,31,52,Leftovers,Relaxed,31,50,,,,,,,,,,,,
Team Aqua Grunt #2,FALSE,Mt. Pyre,Team Aqua Grunt #2 - Mt. Pyre,Seviper,Glare,Earthquake,Giga Drain,Poison Fang,Sharpedo,Crunch,Earthquake,Poison Fang,Surf,Banette,Thunder Wave,Shadow Ball,Return,HP Fight,Ursaring,Scary Face,Earthquake,HP Ghost,Crush Claw,Mr. Mime,Psychic,Fake Out,Fire Punch,Signal Beam,Feraligatr,Scary Face,Waterfall,Earthquake,Ice Beam,FALSE,King'S Rock,Hardy,31,52,Focus Band,Timid,31,53,King'S Rock,Lax,31,52,Scope Lens,Naive,31,52,Scope Lens,Lax,31,52,King'S Rock,Hasty,31,53
Team Aqua Grunt #3,FALSE,Mt. Pyre,Team Aqua Grunt #3 - Mt. Pyre,Exeggutor,Sleep Powder,Explosion,Psychic,Giga Drain,Crawdaunt,Crabhammer,X-Scissors,Crunch,HP Ground,Nidoking,Surf,Fire Blast,Earthquake,Thunderbolt,Blastoise,Mirror Coat,Ice Beam,Roar,Surf,Slowking,Psychic,Surf,Signal Beam,Earthquake,Dragonite,Double-Edge,Thunder,Fire Blast,Hydro Pump,FALSE,Scope Lens,Sassy,31,50,Scope Lens,Hardy,31,53,Scope Lens,Quiet,31,50,Leftovers,Impish,31,50,Quick Claw,Hardy,31,50,Salac Berry,Hardy,31,55
Team Aqua Grunt #4,FALSE,Mt. Pyre,Team Aqua Grunt #4 - Mt. Pyre,Muk,Explosion,Fire Blast,Shadow Ball,Sludge Bomb,Jynx,Blizzard,Psychic,HP Fire,Fake Tears,Relicanth,Head Smash,,,,Sableye,Confuse Ray,Shadow Sneak,Brick Break,Shadow Ball,Azumarill,Hydro Pump,Double-Edge,HP Ghost,Blizzard,Swampert,Hydro Cannon,Sludge Bomb,HP Electric,Ice Beam,FALSE,Scope Lens,Naive,31,50,Scope Lens,Lonely,31,50,Choice Band,Calm,31,53,Scope Lens,Hardy,31,48,Scope Lens,Jolly,31,53,Salac Berry,Mild,31,53
Hex Maniac Valerie,FALSE,Mt. Pyre,Hex Maniac Valerie - Mt. Pyre,Ninetales,Calm Mind,Flamethrower,Extrasensory,Bite,Persian,Double-Edge,Hypnosis,Shadow Ball,Water Pulse,Alakazam,Substitute,Focus Punch,Psychic,Shadow Ball,,,,,,,,,,,,,,,,FALSE,Leftovers,Brave,31,53,Lum Berry,Hardy,31,51,Black Belt,Hardy,31,52,,,,,,,,,,,,
Team Aqua Grunt #5,FALSE,Mt. Pyre,Team Aqua Grunt #5 - Mt. Pyre,Lunatone,Hypnosis,Psychic,Explosion,Ice Beam,Ludicolo,Ice Beam,Fire Punch,Thunderpunch,Giga Drain,Cloyster,Explosion,Ice Shard,Surf,Ice Beam,Electabuzz,Thunder,Cross Chop,Quick Attack,Ice Punch,Clamperl,Hydro Pump,Surf,Blizzard,HP Grass,Nidoqueen,Earthquake,Blizzard,Thunder,Surf,FALSE,Scope Lens,Calm,31,51,Scope Lens,Naughty,31,51,Scope Lens,Rash,31,53,King'S Rock,Modest,31,51,Deepseatooth,Impish,31,55,Brightpowder,Hasty,31,52
Team Aqua Grunt #6,FALSE,Mt. Pyre,Team Aqua Grunt #6 - Mt. Pyre,Umbreon,Mean Look,Baton Pass,Moonlight,Toxic,Tentacruel,Swords Dance,Sludge Bomb,HP Ground,Muddy Water,Gorebyss,Blizzard,Psychic,Hydro Pump,Baton Pass,Quagsire,Earthquake,Yawn,Recover,Ancientpower,Clefable,Belly Drum,Sing,Frustration,Meteor Mash,Gyarados,Earthquake,Hydro Pump,Bounce,Double-Edge,FALSE,Leftovers,Hasty,31,52,Leftovers,Calm,31,53,Salac Berry,Hardy,31,53,Leftovers,Jolly,31,54,Leftovers,Brave,31,52,Focus Band,Bold,31,53
Team Aqua Grunt #7,FALSE,Mt. Pyre,Team Aqua Grunt #7 - Mt. Pyre,Glalie,Blizzard,Ice Shard,Earthquake,Crunch,Poliwrath,Hypnosis,Focus Punch,Ice Beam,Substitute,Armaldo,Earthquake,Ancientpower,X-Scissors,Swords Dance,Slowbro,Thunder Wave,Psychic,Surf,Signal Beam,Gengar,Destiny Bond,Shadow Ball,Psychic,Thunderbolt,Omastar,Blizzard,Hydro Pump,Ancientpower,Ice Beam,FALSE,Leppa Berry,Hardy,31,52,Leftovers,Naughty,31,54,Quick Claw,Timid,31,52,Leftovers,Hardy,31,53,Salac Berry,Hardy,31,50,Quick Claw,Hardy,31,54
Team Aqua Grunt #8,FALSE,Mt. Pyre,Team Aqua Grunt #8 - Mt. Pyre,Wobbuffet,Counter,Mirror Coat,Destiny Bond,,Dewgong,Surf,Drill Run,Blizzard,Ice Shard,Ludicolo,Toxic,Leech Seed,Protect,Fire Punch,Vaporeon,Toxic,Protect,Wish,Muddy Water,Miltank,Attract,Body Slam,Earthquake,Milk Drink,Starmie,Cosmic Power,Recover,Psychic,Toxic,FALSE,Leftovers,Hardy,31,51,Leftovers,Gentle,31,55,Leftovers,Bold,31,52,Leftovers,Naughty,31,53,Leftovers,Hardy,31,51,Leftovers,Jolly,31,54
Team Aqua Grunt #9,FALSE,Mt. Pyre,Team Aqua Grunt #9 - Mt. Pyre,Electrode,Explosion,,,,Feraligatr,Dragon Dance,Earthquake,Ancientpower,Ice Beam,Nidoking,Megahorn,Earthquake,Poison Tail,Thunderbolt,Walrein,Blizzard,Surf,Super Fang,Earthquake,Hypno,Psychic,Fire Punch,Hypnosis,Thunderpunch,Relicanth,Head Smash,Earthquake,Hydro Pump,,FALSE,Choice Band,Hardy,31,51,Lum Berry,Naive,31,54,Scope Lens,Hardy,31,51,Leftovers,Naive,31,54,Leftovers,Sassy,31,51,Focus Band,Mild,31,55
Team Aqua Grunt #10,FALSE,Mt. Pyre,Team Aqua Grunt #10 - Mt. Pyre,Jynx,Lovely Kiss,Psychic,Blizzard,Fake Tears,Milotic,Toxic,Surf,Ice Beam,Recover,Cradily,Stockpile,Recover,Toxic,Earthquake,Banette,Thunder Wave,Destiny Bond,Shadow Ball,HP Fight,Lanturn,Thunder Wave,Confuse Ray,Ice Beam,Thunderbolt,Blastoise,Hydro Cannon,Ice Beam,HP Electric,Roar,FALSE,Brightpowder,Careful,31,53,Leftovers,Hardy,31,52,Leftovers,Timid,31,53,Leppa Berry,Lax,31,52,King'S Rock,Hardy,31,54,Leftovers,Sassy,31,55
Aqua Admin Matt,FALSE,Mt. Pyre,Aqua Admin Matt - Mt. Pyre,Wailord,Selfdestruct,Water Spout,Earthquake,Ice Beam,Machamp,Superpower,Earthquake,Rock Slide,HP Ghost,Slaking,Hyper Beam,Surf,Earthquake,Shadow Ball,Exeggutor,Explosion,Egg Bomb,Psychic,Ancientpower,Gyarados,Earthquake,HP Flying,Dragon Dance,Frustration,Dragonite,Superpower,Rock Slide,Earthquake,Extremespeed,FALSE,Quick Claw,Adamant,31,57,Chesto Berry,Impish,31,56,Lum Berry,Gentle,31,56,Quick Claw,Timid,31,56,Brightpowder,Mild,31,58,Lum Berry,Hardy,31,57
Team Magma Grunt #1,FALSE,Magma Hideout,Team Magma Grunt #1 - Magma Hideout,Smeargle,Spore,Super Fang,Nightmare,Substitute,Vileplume,Sleep Powder,Solarbeam,Sludge Bomb,Leech Seed,Donphan,Earthquake,Swagger,Ancientpower,Body Slam,Ninetales,Hypnosis,Overheat,Solarbeam,Extrasensory,Absol,Thunder Wave,Fire Blast,Shadow Ball,Superpower,,,,,,FALSE,Leftovers,Naughty,31,57,Leftovers,Careful,31,56,Brightpowder,Brave,31,57,Brightpowder,Hardy,31,57,Brightpowder,Lax,31,57,,,,
Team Magma Grunt #2,FALSE,Magma Hideout,Team Magma Grunt #2 - Magma Hideout,Gengar,Destiny Bond,Explosion,Ice Punch,Thunderbolt,Camerupt,Explosion,Earthquake,Overheat,Solarbeam,Shiftry,Explosion,Solarbeam,Brick Break,Shadow Ball,Manectric,Thunder Wave,Flamethrower,Crunch,Thunderbolt,Solrock,Will-O-Wisp,Earthquake,Ancientpower,Morning Sun,,,,,,FALSE,Focus Band,Naughty,31,56,Quick Claw,Hardy,31,59,Scope Lens,Lonely,31,56,,Gentle,31,57,Leftovers,Lonely,31,58,,,,
Team Magma Grunt #3,FALSE,Magma Hideout,Team Magma Grunt #3 - Magma Hideout,Flygon,Earthquake,Solarbeam,Fire Blast,Rock Slide,Xatu,Solarbeam,Psychic,Drill Peck,Light Screen,Manectric,Overheat,Thunderbolt,Thunder Wave,Crunch,Bellossom,Sleep Powder,Solarbeam,Weather Ball (Fire),Leech Seed,Arcanine,Overheat,Extremespeed,Crunch,Solarbeam,,,,,,FALSE,Brightpowder,Hardy,31,56,Brightpowder,Calm,31,58,King'S Rock,Modest,31,58,Lum Berry,Mild,31,59,Brightpowder,Rash,31,59,,,,
Team Magma Grunt #4,FALSE,Magma Hideout,Team Magma Grunt #4 - Magma Hideout,Granbull,Counter,Earthquake,Shadow Ball,Body Slam,Victreebel,Sleep Powder,Solarbeam,Gunk Shot,Weather Ball (Fire),Claydol,Solarbeam,Earthquake,Explosion,Psychic,Charizard,Belly Drum,Earthquake,Heat Wave,Rock Slide,Aggron,Thunder Wave,Head Smash,Earthquake,Iron Tail,,,,,,FALSE,Focus Band,Gentle,31,57,Brightpowder,Sassy,31,59,Scope Lens,Lonely,31,59,Brightpowder,Impish,31,59,Brightpowder,Hasty,31,60,,,,
Team Magma Grunt #5,FALSE,Magma Hideout,Team Magma Grunt #5 - Magma Hideout,Smeargle,Spore,Substitute,Belly Drum,Baton Pass,Crobat,Sludge Bomb,Shadow Ball,Heat Wave,Confuse Ray,Dugtrio,Earthquake,Sludge Bomb,Ancientpower,Tri Attack,Venusaur,Solarbeam,Sludge Bomb,Ancientpower,Earthquake,Dodrio,Quick Attack,Double-Edge,Drill Peck,HP Fight,,,,,,FALSE,Brightpowder,Naughty,31,59,Scope Lens,Naive,31,56,Brightpowder,Hardy,31,60,Focus Band,Naive,31,58,Brightpowder,Timid,31,60,,,,
Team Magma Grunt #6,FALSE,Magma Hideout,Team Magma Grunt #6 - Magma Hideout,Misdreavus,Mean Look,Substitute,Perish Song,Protect,Torkoal,Heat Wave,Solarbeam,Earthquake,Explosion,Aggron,Counter,Head Smash,Earthquake,Iron Tail,Jumpluff,Leech Seed,Sleep Powder,Protect,Substitute,Ampharos,Tail Glow,Thunderbolt,Fire Punch,HP Ice,Sandslash,Earthquake,Ancientpower,X-Scissors,Crush Claw,FALSE,Leftovers,Lonely,31,60,Quick Claw,Hardy,31,60,Focus Band,Adamant,31,61,Leftovers,Gentle,31,59,Brightpowder,Bold,31,58,Brightpowder,Mild,31,60
Team Magma Grunt #7,FALSE,Magma Hideout,Team Magma Grunt #7 - Magma Hideout,Wobbuffet,Counter,Encore,Mirror Coat,Destiny Bond,Magmar,Solarbeam,Fire Blast,Cross Chop,Thunderpunch,Shiftry,Swords Dance,Explosion,Brick Break,Shadow Ball,Gligar,Earthquake,Rock Slide,Aerial Ace,Swords Dance,Golem,Explosion,Earthquake,Head Smash,Double-Edge,Exploud,Hyper Voice,Overheat,Solarbeam,Ice Beam,FALSE,Leftovers,Modest,31,58,Scope Lens,Naive,31,61,Focus Band,Mild,31,60,Brightpowder,Gentle,31,62,Quick Claw,Careful,31,63,Quick Claw,Brave,31,59
Team Magma Grunt #8,FALSE,Magma Hideout,Team Magma Grunt #8 - Magma Hideout,Smeargle,Spore,Tail Glow,Substitute,Baton Pass,Gengar,Giga Drain,Fire Punch,Thunderbolt,Ice Punch,Typhlosion,Heat Wave,Thunderpunch,Solarbeam,Earthquake,Alakazam,Psychic,Fire Punch,Ice Punch,Thunderpunch,Altaria,Draco Meteor,Solarbeam,Flamethrower,Ice Beam,Vileplume,Solarbeam,HP Ice,Weather Ball (Fire),Sleep Powder,FALSE,Leftovers,Jolly,31,60,Scope Lens,Hardy,31,58,King'S Rock,Rash,31,60,Scope Lens,Adamant,31,57,Brightpowder,Sassy,31,60,Lum Berry,Mild,31,61
Team Magma Grunt #9,FALSE,Magma Hideout,Team Magma Grunt #9 - Magma Hideout,Octillery,Water Spout,Fire Blast,Ice Beam,HP Electric,Glalie,Ice Beam,Weather Ball (Fire),Earthquake,Ice Shard,Ludicolo,Solarbeam,Ice Beam,Fire Punch,Thunderpunch,Walrein,Ice Beam,Ice Shard,Earthquake,Surf,Quagsire,Earthquake,Sludge Bomb,Ancientpower,Recover,Charizard,Dragon Dance,Earthquake,Rock Slide,Heat Wave,FALSE,Quick Claw,Naughty,31,60,Focus Band,Hasty,31,60,Quick Claw,Calm,31,60,Leftovers,Lax,31,60,Lum Berry,Naughty,31,60,Brightpowder,Hasty,31,60
Team Magma Grunt #10,FALSE,Magma Hideout,Team Magma Grunt #10 - Magma Hideout,Marowak,HP Flying,Double-Edge,Earthquake,Ancientpower,Shiftry,Explosion,,,,Solrock,Explosion,,,,Manectric,Light Screen,Thunderbolt,Overheat,Crunch,Dodrio,Body Slam,Quick Attack,Drill Peck,Steel Wing,Blaziken,Blaze Kick,Solarbeam,Brick Break,Thunderpunch,FALSE,Thick Club,Lax,31,60,Choice Band,Hasty,31,57,Choice Band,Mild,31,60,Lum Berry,Hasty,31,60,Scope Lens,Relaxed,31,61,Lum Berry,Hardy,31,61
Team Magma Grunt #11,FALSE,Magma Hideout,Team Magma Grunt #11 - Magma Hideout,Smeargle,Spore,Explosion,Light Screen,Reflect,Armaldo,Swords Dance,Earthquake,X-Scissors,Ancientpower,Venusaur,Swords Dance,Earthquake,Sludge Bomb,Ancientpower,Granbull,Earthquake,Shadow Ball,Frustration,Super Fang,Flygon,Solarbeam,Draco Meteor,Flamethrower,Earthquake,Torkoal,Curse,Earthquake,Heat Wave,Rest,FALSE,Leftovers,Jolly,31,61,Lum Berry,Rash,31,62,Scope Lens,Impish,31,59,Quick Claw,Hardy,31,61,Scope Lens,Careful,31,58,Leftovers,Sassy,31,63
Team Magma Grunt #12,FALSE,Magma Hideout,Team Magma Grunt #12 - Magma Hideout,Gengar,Hypnosis,Mean Look,Perish Song,Substitute,Claydol,Explosion,,,,Exeggutor,Swords Dance,Explosion,Ancientpower,HP Fight,Wobbuffet,Counter,Mirror Coat,Destiny Bond,Encore,Exploud,Overheat,Hyper Voice,Solarbeam,Extrasensory,Arcanine,Will-O-Wisp,Morning Sun,Extremespeed,Solarbeam,FALSE,Leftovers,Naughty,31,59,Choice Band,Impish,31,58,Brightpowder,Rash,31,59,Leftovers,Careful,31,61,Lum Berry,Brave,31,62,Leftovers,Bold,31,62
Team Magma Grunt #13,FALSE,Magma Hideout,Team Magma Grunt #13 - Magma Hideout,Weezing,Destiny Bond,Explosion,Fire Blast,Gunk Shot,Granbull,Attract,Body Slam,Earthquake,Shadow Ball,Jumpluff,Attract,Stun Spore,Substitute,Leech Seed,Espeon,Psychic,HP Fire,Bite,Morning Sun,Umbreon,Mean Look,Toxic,Charm,Rest,Flareon,Overheat,Superpower,Shadow Ball,Double-Edge,FALSE,Lum Berry,Lonely,31,62,Leftovers,Hasty,31,62,Leftovers,Naughty,31,63,Lum Berry,Naughty,31,61,Leftovers,Naughty,31,61,Quick Claw,Brave,31,63
Team Magma Grunt #14,FALSE,Magma Hideout,Team Magma Grunt #14 - Magma Hideout,Smeargle,Spore,Explosion,Light Screen,,Sudowoodo,Explosion,Head Smash,Earthquake,Double-Edge,Victreebel,Solarbeam,Weather Ball (Fire),Gunk Shot,HP Rock,Manectric,Overheat,Thunderbolt,Crunch,Quick Attack,Claydol,Earthquake,Solarbeam,Ice Beam,Psychic,Rapidash,Overheat,Drill Run,Solarbeam,Hypnosis,FALSE,Lum Berry,Naughty,31,63,Quick Claw,Rash,31,63,Lum Berry,Calm,31,64,Scope Lens,Modest,31,63,Leftovers,Rash,31,63,Lum Berry,Jolly,31,64
Team Magma Grunt #15,FALSE,Magma Hideout,Team Magma Grunt #15 - Magma Hideout,Sudowoodo,Explosion,,,,Meganium,Solarbeam,Earthquake,Ancientpower,HP Fire,Misdreavus,Mean Look,Perish Song,Protect,Attract,Altaria,Sing,Earthquake,Sky Attack,Flamethrower,Clefable,Fire Blast,Ice Beam,Solarbeam,Thunderbolt,Ninetales,Calm Mind,Heat Wave,HP Electric,Solarbeam,FALSE,Choice Band,Timid,31,59,Leftovers,Gentle,31,63,Leftovers,Brave,31,63,Leftovers,Gentle,31,63,Quick Claw,Timid,31,63,Leftovers,Impish,31,64
Team Magma Grunt #16,FALSE,Magma Hideout,Team Magma Grunt #16 - Magma Hideout,Solrock,Light Screen,Explosion,Shadow Ball,Will-O-Wisp,Aggron,Thunder Wave,Head Smash,Earthquake,Superpower,Weezing,Explosion,Gunk Shot,Fire Blast,Shadow Ball,Wobbuffet,Counter,Mirror Coat,Safeguard,Destiny Bond,Houndoom,Heat Wave,Solarbeam,Crunch,Pursuit,,,,,,FALSE,Lum Berry,Mild,31,63,Quick Claw,Rash,31,64,Lum Berry,Hardy,31,63,Leftovers,Naughty,31,62,Lum Berry,Sassy,31,60,,,,
Magma Admin Courtney,FALSE,Magma Hideout,Magma Admin Courtney - Magma Hideout,Charizard,Overheat,Dragon Claw,Solarbeam,Earthquake,Regirock,Counter,Explosion,Ancientpower,Earthquake,Salamence,Earthquake,Flamethrower,Draco Meteor,Air Slash,Kangaskhan,Fake Out,Crush Claw,Earthquake,Shadow Ball,Venusaur,Sleep Powder,Weather Ball (Fire),Solarbeam,Ancientpower,Castform,Weather Ball (Fire),Ice Beam,Thunderbolt,Solarbeam,FALSE,Lum Berry,Hardy,31,64,Lum Berry,Timid,31,65,Lum Berry,Gentle,31,64,Lum Berry,Relaxed,31,63,Lum Berry,Modest,31,65,Lum Berry,Quiet,31,64
Magma Leader Maxie,FALSE,Magma Hideout,Magma Leader Maxie - Magma Hideout,Tyranitar,Solarbeam,Fire Blast,Ancientpower,Earthquake,Flygon,Draco Meteor,Earthquake,Heat Wave,Solarbeam,Gengar,Ice Punch,Thunderbolt,Psychic,Fire Punch,Arcanine,Heat Wave,Solarbeam,Extremespeed,HP Ice,Exeggutor,Solarbeam,Psychic,Ancientpower,HP Fire,Entei,Sacred Fire,Solarbeam,Extremespeed,Ancientpower,FALSE,Lum Berry,Adamant,31,66,Lum Berry,Modest,31,66,Lum Berry,Modest,31,66,Lum Berry,Hardy,31,66,Lum Berry,Hardy,31,66,Lum Berry,Impish,31,66
Team Aqua Grunt #1,FALSE,Aqua Hideout,Team Aqua Grunt #1 - Aqua Hideout,Exeggutor,Sleep Powder,Explosion,Egg Bomb,Ancientpower,Qwilfish,Explosion,,,,Swampert,Swagger,Earthquake,Muddy Water,Ice Beam,Walrein,Double Team,Earthquake,Rest,Ice Beam,Jolteon,Thunderbolt,Thunder Wave,Bite,Reflect,Snorlax,Counter,Body Slam,Earthquake,Shadow Ball,FALSE,Quick Claw,Sassy,31,60,Choice Band,Adamant,31,63,Brightpowder,Hardy,31,64,Leftovers,Calm,31,64,King'S Rock,Jolly,31,62,Leftovers,Adamant,31,60
Team Aqua Grunt #2,FALSE,Aqua Hideout,Team Aqua Grunt #2 - Aqua Hideout,Cloyster,Explosion,,,,Ludicolo,Fire Punch,Thunderpunch,Ice Beam,Surf,Tentacruel,Mirror Coat,Sludge Bomb,Hydro Pump,Giga Drain,Clefable,Belly Drum,Moonlight,Frustration,Meteor Mash,Hypno,Thunder Wave,Psychic,Brick Break,Shadow Ball,Kingdra,Toxic,Protect,Octazooka,Ice Beam,FALSE,Choice Band,Timid,31,63,Scope Lens,Rash,31,63,Leftovers,Adamant,31,64,Leftovers,Quiet,31,62,King'S Rock,Hardy,31,61,Leftovers,Hardy,31,62
Team Aqua Grunt #3,FALSE,Aqua Hideout,Team Aqua Grunt #3 - Aqua Hideout,Glalie,Explosion,,,,Wailord,Toxic,Protect,Ice Beam,Earthquake,Nidoking,Surf,Earthquake,Ice Beam,Thunderbolt,Slowking,Psychic,Thunder Wave,Earthquake,Ice Beam,Quagsire,Toxic,Double Team,Recover,Ice Beam,Hypno,Counter,Brick Break,Shadow Ball,Psychic,FALSE,Choice Band,Hardy,31,60,Leftovers,Relaxed,31,60,Scope Lens,Hardy,31,62,Chesto Berry,Mild,31,65,Leftovers,Hasty,31,65,Leftovers,Rash,31,62
Team Aqua Grunt #4,FALSE,Aqua Hideout,Team Aqua Grunt #4 - Aqua Hideout,Jynx,Lovely Kiss,Mean Look,Perish Song,Substitute,Wailord,Selfdestruct,,,,Nidoqueen,Poison Fang,Shadow Ball,Earthquake,Ice Beam,Milotic,Light Screen,Surf,Ice Beam,Recover,Clefable,Toxic,Cosmic Power,Moonlight,Psywave,Relicanth,Head Smash,Earthquake,Rest,Sleep Talk,FALSE,Leftovers,Relaxed,31,65,Choice Band,Gentle,31,59,Quick Claw,Hardy,31,63,Leftovers,Relaxed,31,62,Leftovers,Gentle,31,64,Brightpowder,Modest,31,65
Team Aqua Grunt #5,FALSE,Aqua Hideout,Team Aqua Grunt #5 - Aqua Hideout,Raichu,Rain Dance,Thunder,Surf,Signal Beam,Starmie,Rain Dance,Surf,Thunder,Psychic,Ludicolo,Rain Dance,Ice Beam,Waterfall,Leech Seed,Omastar,Rain Dance,Muddy Water,Ice Beam,Ancientpower,Dragonite,Rain Dance,Thunder,Surf,Double-Edge,Poliwrath,Rain Dance,Earthquake,Superpower,Ice Beam,FALSE,Brightpowder,Brave,31,64,King'S Rock,Lax,31,62,Leftovers,Hardy,31,61,Brightpowder,Hardy,31,65,Scope Lens,Hardy,31,60,Leftovers,Timid,31,65
